SS_NoSpace,SIPred,Spp,fD
IDFdh_WA/111,20.8218855,At,TRUE
IDFdh_WA/111,20.8218855,At,TRUE
ESSFmmw/02,10.57665565,Bl,TRUE
ESSFmmw/02,8.540335258,Bl,TRUE
MSdm_WA/111,18.30742171,Bl,TRUE
MSdm_WA/111,17.76315761,Bl,TRUE
