SS_NoSpace,Edatopic,Special,Codes,fD
BGxh1/Gg,A2,,,TRUE
BGxh1/Gg,A2,,,TRUE
IDFxh_ID/Gg,A1,,,TRUE
IDFxh_ID/Gg,A1,,,TRUE
IDFxh_ID/Gg,B1,,,TRUE
IDFxh_ID/Gg,B1,,,TRUE
IDFxh_ID/Gg,C1,,,TRUE
IDFxh_ID/Gg,C1,,,TRUE
IDFxh_ID/Gg,D1,,,TRUE
IDFxh_ID/Gg,D1,,,TRUE
