SS_NoSpace,Spp,Feasible,fD
ESSFdmp_ID/00,Sx,3,TRUE
ESSFdmp_ID/00,Pa,3,TRUE
ESSFdmp_ID/00,Pa,3,TRUE
ESSFdmp_ID/00,Pa,3,TRUE
ESSFdmp_ID/00,La,3,TRUE
ESSFdmp_ID/00,La,3,TRUE
ESSFdmp_ID/00,La,3,TRUE
ESSFdmp_ID/00,Bl,3,TRUE
ESSFdmp_ID/00,Bl,3,TRUE
ESSFdmp_ID/00,Bl,3,TRUE
ESSFdvp/00,Bl,3,TRUE
ESSFdvp/00,Bl,3,TRUE
ESSFdvp/00,Bl,3,TRUE
ESSFmcp/00,Bl,3,TRUE
ESSFmcp/00,Bl,3,TRUE
ESSFmcp/00,Bl,3,TRUE
ESSFmkp/00,Bl,3,TRUE
ESSFmkp/00,Bl,3,TRUE
ESSFmkp/00,Bl,3,TRUE
ESSFmmp/00,Bl,3,TRUE
ESSFmmp/00,Bl,3,TRUE
ESSFmmp/00,Bl,3,TRUE
ESSFmmw/02,Bl,2,TRUE
ESSFmmw/02,Bl,3,TRUE
ESSFmmw/03,Bl,2,TRUE
ESSFmmw/03,Bl,2,TRUE
ESSFmvp/00,Bl,3,TRUE
ESSFmvp/00,Bl,3,TRUE
ESSFmvp/00,Bl,3,TRUE
ESSFmwp/00,Bl,3,TRUE
ESSFmwp/00,Bl,3,TRUE
ESSFmwp/00,Bl,3,TRUE
ESSFmwp_WA/00,X,5,TRUE
ESSFmwp_WA/00,X,5,TRUE
ESSFmwp_WA/00,X,5,TRUE
ESSFmwp_WA/00,Sx,3,TRUE
ESSFmwp_WA/00,Sx,3,TRUE
ESSFmwp_WA/00,Sx,3,TRUE
ESSFmwp_WA/00,Pl,3,TRUE
ESSFmwp_WA/00,Pl,3,TRUE
ESSFmwp_WA/00,Pl,3,TRUE
ESSFmwp_WA/00,Pa,3,TRUE
ESSFmwp_WA/00,Pa,3,TRUE
ESSFmwp_WA/00,Pa,3,TRUE
ESSFmwp_WA/00,Bl,3,TRUE
ESSFmwp_WA/00,Bl,3,TRUE
ESSFmwp_WA/00,Bl,3,TRUE
ESSFunp/00,Bl,3,TRUE
ESSFunp/00,Bl,3,TRUE
ESSFunp/00,Bl,3,TRUE
ESSFvcp/00,Bl,3,TRUE
ESSFvcp/00,Bl,3,TRUE
ESSFvcp/00,Bl,3,TRUE
ESSFwcp/00,Bl,3,TRUE
ESSFwcp/00,Bl,3,TRUE
ESSFwcp/00,Bl,3,TRUE
ESSFwmp/00,Bl,3,TRUE
ESSFwmp/00,Bl,3,TRUE
ESSFwmp/00,Bl,3,TRUE
ESSFwmp_MT/00,Sx,3,TRUE
ESSFwmp_MT/00,Sx,3,TRUE
ESSFwmp_MT/00,Sx,3,TRUE
ESSFwmp_MT/00,Pa,3,TRUE
ESSFwmp_MT/00,Pa,3,TRUE
ESSFwmp_MT/00,Pa,3,TRUE
ESSFwmp_MT/00,Bl,3,TRUE
ESSFwmp_MT/00,Bl,3,TRUE
ESSFwmp_MT/00,Bl,3,TRUE
ESSFwvp/00,Bl,3,TRUE
ESSFwvp/00,Bl,3,TRUE
ESSFwvp/00,Bl,3,TRUE
ESSFxcp/00,Bl,3,TRUE
ESSFxcp/00,Bl,3,TRUE
ESSFxcp/00,Bl,3,TRUE
ESSFxcp_CO/00,Sx,3,TRUE
ESSFxcp_CO/00,Sx,3,TRUE
ESSFxcp_CO/00,Sx,3,TRUE
ESSFxcp_CO/00,Pl,3,TRUE
ESSFxcp_CO/00,Pl,3,TRUE
ESSFxcp_CO/00,Pl,3,TRUE
ESSFxcp_CO/00,Pf,3,TRUE
ESSFxcp_CO/00,Pf,3,TRUE
ESSFxcp_CO/00,Pf,3,TRUE
ESSFxcp_CO/00,Bl,3,TRUE
ESSFxcp_CO/00,Bl,3,TRUE
ESSFxcp_CO/00,Bl,3,TRUE
ESSFxcp_WA/00,X,5,TRUE
ESSFxcp_WA/00,X,5,TRUE
ESSFxcp_WA/00,X,5,TRUE
ESSFxcp_WA/00,Pl,3,TRUE
ESSFxcp_WA/00,Pl,3,TRUE
ESSFxcp_WA/00,Pl,3,TRUE
ESSFxcp_WA/00,Pa,3,TRUE
ESSFxcp_WA/00,Pa,3,TRUE
ESSFxcp_WA/00,Pa,3,TRUE
ESSFxcp_WA/00,La,3,TRUE
ESSFxcp_WA/00,La,3,TRUE
ESSFxcp_WA/00,La,3,TRUE
ESSFxcp_WA/00,Bl,3,TRUE
ESSFxcp_WA/00,Bl,3,TRUE
ESSFxcp_WA/00,Bl,3,TRUE
ESSFxkp_MT/00,X,5,TRUE
ESSFxkp_MT/00,X,5,TRUE
ESSFxkp_MT/00,X,5,TRUE
ESSFxkp_MT/00,Sx,3,TRUE
ESSFxkp_MT/00,Sx,3,TRUE
ESSFxkp_MT/00,Sx,3,TRUE
ESSFxkp_MT/00,Pl,3,TRUE
ESSFxkp_MT/00,Pl,3,TRUE
ESSFxkp_MT/00,Pl,3,TRUE
ESSFxkp_MT/00,Pf,3,TRUE
ESSFxkp_MT/00,Pf,3,TRUE
ESSFxkp_MT/00,Pf,3,TRUE
ESSFxkp_MT/00,Pa,3,TRUE
ESSFxkp_MT/00,Pa,3,TRUE
ESSFxkp_MT/00,Pa,3,TRUE
ESSFxkp_MT/00,Bl,3,TRUE
ESSFxkp_MT/00,Bl,3,TRUE
ESSFxkp_MT/00,Bl,3,TRUE
ESSFxkp_UT/00,Sx,3,TRUE
ESSFxkp_UT/00,Sx,3,TRUE
ESSFxkp_UT/00,Sx,3,TRUE
ESSFxkp_UT/00,Pl,3,TRUE
ESSFxkp_UT/00,Pl,3,TRUE
ESSFxkp_UT/00,Pl,3,TRUE
ESSFxkp_UT/00,Pf,3,TRUE
ESSFxkp_UT/00,Pf,3,TRUE
ESSFxkp_UT/00,Pf,3,TRUE
ESSFxkp_UT/00,Bl,3,TRUE
ESSFxkp_UT/00,Bl,3,TRUE
ESSFxkp_UT/00,Bl,3,TRUE
ESSFxvp/00,Bl,3,TRUE
ESSFxvp/00,Bl,3,TRUE
ESSFxvp/00,Bl,3,TRUE
ESSFxwp_OR/00,Pl,3,TRUE
ESSFxwp_OR/00,Pl,3,TRUE
ESSFxwp_OR/00,Pl,3,TRUE
ESSFxwp_OR/00,Pa,3,TRUE
ESSFxwp_OR/00,Pa,3,TRUE
ESSFxwp_OR/00,Pa,3,TRUE
ESSFxwp_OR/00,Bl,3,TRUE
ESSFxwp_OR/00,Bl,3,TRUE
ESSFxwp_OR/00,Bl,3,TRUE
FGff/00,X,1,TRUE
FGff/00,X,1,TRUE
FGff/00,X,1,TRUE
FGnf/00,X,1,TRUE
FGnf/00,X,1,TRUE
FGnf/00,X,1,TRUE
GBDdw_UT/Gg,X,1,TRUE
GBDdw_UT/Gg,X,1,TRUE
ICHmc1a/01,Sx,1,TRUE
ICHmc1a/01,Sx,1,TRUE
ICHmc1a/01,Pl,1,TRUE
ICHmc1a/01,Pl,1,TRUE
ICHmc1a/01,Hw,1,TRUE
ICHmc1a/01,Hw,1,TRUE
ICHmc1a/01,Ep,3,TRUE
ICHmc1a/01,Ep,3,TRUE
ICHmc1a/01,Cw,4,TRUE
ICHmc1a/01,Cw,4,TRUE
ICHmc1a/01,Bl,3,TRUE
ICHmc1a/01,Bl,3,TRUE
ICHmc1a/01,Ba,1,TRUE
ICHmc1a/01,Ba,1,TRUE
ICHmc1a/01,At,3,TRUE
ICHmc1a/01,At,3,TRUE
ICHmc2/03,Lw,4,TRUE
ICHmc2/03,Lw,4,TRUE
ICHmc2/04,Lw,4,TRUE
ICHmc2/04,Lw,4,TRUE
ICHmw3/03,Lw,4,TRUE
ICHmw3/03,Lw,4,TRUE
ICHmw3/04,Lw,4,TRUE
ICHmw3/04,Lw,4,TRUE
ICHmw3/05,Lw,4,TRUE
ICHmw3/05,Lw,4,TRUE
ICHmw3/06,Lw,4,TRUE
ICHmw3/06,Lw,4,TRUE
ICHwk1/04,Lw,4,TRUE
ICHwk1/04,Lw,4,TRUE
ICHwk1/05,Lw,4,TRUE
ICHwk1/05,Lw,4,TRUE
IDFdh_WA/111,At,5,TRUE
IDFdh_WA/111,At,3,TRUE
IDFmw2/03,Lw,4,TRUE
IDFmw2/03,Lw,4,TRUE
IDFmw2/04,Lw,4,TRUE
IDFmw2/04,Lw,4,TRUE
IMAab/00,X,1,TRUE
IMAab/00,X,1,TRUE
IMAab/00,X,1,TRUE
IMAun/00,X,1,TRUE
IMAun/00,X,1,TRUE
IMAun/00,X,1,TRUE
IMAun_CO/00,X,1,TRUE
IMAun_CO/00,X,1,TRUE
IMAun_CO/00,X,1,TRUE
IMAun_MT/00,X,1,TRUE
IMAun_MT/00,X,1,TRUE
IMAun_MT/00,X,1,TRUE
IMAun_WA/00,X,1,TRUE
IMAun_WA/00,X,1,TRUE
IMAun_WA/00,X,1,TRUE
IMAun_WY/00,X,1,TRUE
IMAun_WY/00,X,1,TRUE
IMAun_WY/00,X,1,TRUE
IMAunp/00,X,1,TRUE
IMAunp/00,X,1,TRUE
IMAunp/00,X,1,TRUE
JPWxh_CA/101,Qz,2,TRUE
JPWxh_CA/101,Qz,2,TRUE
JPWxh_CA/101,Qd,2,TRUE
JPWxh_CA/101,Qd,2,TRUE
JPWxh_CA/101,Qc,2,TRUE
JPWxh_CA/101,Qc,2,TRUE
JPWxh_CA/101,Pn,1,TRUE
JPWxh_CA/101,Pn,1,TRUE
JPWxh_CA/101,Jc,1,TRUE
JPWxh_CA/101,Jc,1,TRUE
JPWxh_CA/103,Qz,1,TRUE
JPWxh_CA/103,Qz,1,TRUE
JPWxh_CA/103,Qd,3,TRUE
JPWxh_CA/103,Qd,3,TRUE
JPWxh_CA/103,Qc,1,TRUE
JPWxh_CA/103,Qc,1,TRUE
JPWxh_CA/103,Jc,2,TRUE
JPWxh_CA/103,Jc,2,TRUE
JPWxh_CA/111,Qz,3,TRUE
JPWxh_CA/111,Qz,3,TRUE
JPWxh_CA/111,Qd,3,TRUE
JPWxh_CA/111,Qd,3,TRUE
JPWxh_CA/111,Pz,1,TRUE
JPWxh_CA/111,Pz,1,TRUE
JPWxh_CA/111,Pc,1,TRUE
JPWxh_CA/111,Pc,1,TRUE
MDCHun_NV/Gg,X,1,TRUE
MDCHun_NV/Gg,X,1,TRUE
MGPdm/00,X,1,TRUE
MGPdm/00,X,1,TRUE
MGPdm/00,X,1,TRUE
MGPmg/00,X,1,TRUE
MGPmg/00,X,1,TRUE
MGPmg/00,X,1,TRUE
MGPmw_MT/Gg,X,1,TRUE
MGPmw_MT/Gg,X,1,TRUE
MHmm1/01,Yc,2,TRUE
MHmm1/01,Yc,2,TRUE
MHmm1/01,Ss,3,TRUE
MHmm1/01,Ss,3,TRUE
MHmm1/01,Ss,4,TRUE
MHmm1/01,Ss,4,TRUE
MHmm1/01,Hw,3,TRUE
MHmm1/01,Hw,3,TRUE
MHmm1/01,Hm,1,TRUE
MHmm1/01,Hm,1,TRUE
MHmm1/01,Fd,4,TRUE
MHmm1/01,Fd,4,TRUE
MHmm1/01,Cw,5,TRUE
MHmm1/01,Cw,5,TRUE
MHmm1/01,Bp,4,TRUE
MHmm1/01,Bp,4,TRUE
MHmm1/01,Ba,2,TRUE
MHmm1/01,Ba,2,TRUE
MHmm2/01,Yc,2,TRUE
MHmm2/01,Yc,2,TRUE
MHmm2/01,Hw,3,TRUE
MHmm2/01,Hw,3,TRUE
MHmm2/01,Hm,1,TRUE
MHmm2/01,Hm,1,TRUE
MHmm2/01,Fd,4,TRUE
MHmm2/01,Fd,4,TRUE
MHmm2/01,Cw,5,TRUE
MHmm2/01,Cw,5,TRUE
MHmm2/01,Bp,4,TRUE
MHmm2/01,Bp,4,TRUE
MHmm2/01,Bl,3,TRUE
MHmm2/01,Bl,3,TRUE
MHmm2/01,Ba,2,TRUE
MHmm2/01,Ba,2,TRUE
MHmmp_WA/00,Yc,3,TRUE
MHmmp_WA/00,Yc,3,TRUE
MHmmp_WA/00,Yc,3,TRUE
MHmmp_WA/00,Hm,3,TRUE
MHmmp_WA/00,Hm,3,TRUE
MHmmp_WA/00,Hm,3,TRUE
MHmmp_WA/00,Ba,3,TRUE
MHmmp_WA/00,Ba,3,TRUE
MHmmp_WA/00,Ba,3,TRUE
MHmsp_WA/00,Pa,3,TRUE
MHmsp_WA/00,Pa,3,TRUE
MHmsp_WA/00,Pa,3,TRUE
MHmsp_WA/00,Hm,3,TRUE
MHmsp_WA/00,Hm,3,TRUE
MHmsp_WA/00,Hm,3,TRUE
MHmsp_WA/00,Bl,3,TRUE
MHmsp_WA/00,Bl,3,TRUE
MHmsp_WA/00,Bl,3,TRUE
MHmsp_WA/00,Ba,3,TRUE
MHmsp_WA/00,Ba,3,TRUE
MHmsp_WA/00,Ba,3,TRUE
MHRFdsp_CA/00,Hm,3,TRUE
MHRFdsp_CA/00,Hm,3,TRUE
MHRFdsp_CA/00,Hm,3,TRUE
MHRFdsp_CA/00,Bm,3,TRUE
MHRFdsp_CA/00,Bm,3,TRUE
MHRFdsp_CA/00,Bm,3,TRUE
MHRFdsp_CA/00,Bc,3,TRUE
MHRFdsp_CA/00,Bc,3,TRUE
MHRFdsp_CA/00,Bc,3,TRUE
MHRFmmp_OR/00,Hm,3,TRUE
MHRFmmp_OR/00,Hm,3,TRUE
MHRFmmp_OR/00,Hm,3,TRUE
MHRFmmp_OR/00,Bm,3,TRUE
MHRFmmp_OR/00,Bm,3,TRUE
MHRFmmp_OR/00,Bm,3,TRUE
MHRFmmp_OR/00,Bc,3,TRUE
MHRFmmp_OR/00,Bc,3,TRUE
MHRFmmp_OR/00,Bc,3,TRUE
MHunp/00,Hm,3,TRUE
MHunp/00,Hm,3,TRUE
MHunp/00,Hm,3,TRUE
MHwh/101,Yc,1,TRUE
MHwh/101,Yc,1,TRUE
MHwh/101,Ss,2,TRUE
MHwh/101,Ss,2,TRUE
MHwh/101,Hw,2,TRUE
MHwh/101,Hw,2,TRUE
MHwh/101,Hm,1,TRUE
MHwh/101,Hm,1,TRUE
MHwh/101,Cw,3,TRUE
MHwh/101,Cw,3,TRUE
MHwh1/01,Yc,2,TRUE
MHwh1/01,Yc,2,TRUE
MHwh1/01,Ss,2,TRUE
MHwh1/01,Ss,2,TRUE
MHwh1/01,Hw,2,TRUE
MHwh1/01,Hw,2,TRUE
MHwh1/01,Hm,2,TRUE
MHwh1/01,Hm,2,TRUE
MHwh1/01,Cw,3,TRUE
MHwh1/01,Cw,3,TRUE
MHwh1/01,Ba,2,TRUE
MHwh1/01,Ba,2,TRUE
MHwhp/00,Hm,3,TRUE
MHwhp/00,Hm,3,TRUE
MHwhp/00,Hm,3,TRUE
MSdm_WA/111,Bl,1,TRUE
MSdm_WA/111,Bl,2,TRUE
MSSDun_NV/Gg,X,1,TRUE
MSSDun_NV/Gg,X,1,TRUE
MSxh_OR/113,Sx,1,TRUE
MSxh_OR/113,Sx,1,TRUE
PPxh_WA/111,Ep,5,TRUE
PPxh_WA/111,Ep,2,TRUE
SBAPcp/d,X,1,TRUE
SBAPcp/d,X,1,TRUE
SBSdk/03,Lw,4,TRUE
SBSdk/03,Lw,4,TRUE
SGPdm_CO/Gg,X,1,TRUE
SGPdm_CO/Gg,X,1,TRUE
SWBmks/00,X,1,TRUE
SWBmks/00,X,1,TRUE
SWBmks/00,X,1,TRUE
SWBuns/00,X,1,TRUE
SWBuns/00,X,1,TRUE
SWBuns/00,X,1,TRUE
SWBvks/00,X,1,TRUE
SWBvks/00,X,1,TRUE
SWBvks/00,X,1,TRUE
