SS_NoSpace,Spp,Feasible,fD
BAFAun/00,X,1,TRUE
BAFAun/00,X,1,TRUE
BAFAun/00,X,1,TRUE
BAFAunp/00,X,1,TRUE
BAFAunp/00,X,1,TRUE
BAFAunp/00,X,1,TRUE
BGdw_OR/Gg,X,1,TRUE
BGdw_OR/Gg,X,1,TRUE
BGdw_WA/Gg,X,1,TRUE
BGdw_WA/Gg,X,1,TRUE
BGmw_OR/Gg,X,1,TRUE
BGmw_OR/Gg,X,1,TRUE
BGmw_WA/Gg,X,1,TRUE
BGmw_WA/Gg,X,1,TRUE
BGwm_WA/Gg,X,1,TRUE
BGwm_WA/Gg,X,1,TRUE
BGxh1/Gg,X,1,TRUE
BGxh1/Gg,X,1,TRUE
BGxh3/Gg,X,1,TRUE
BGxh3/Gg,X,1,TRUE
BGxw2/Gg,X,1,TRUE
BGxw2/Gg,X,1,TRUE
CDFmm/01,Ra,2,TRUE
CDFmm/01,Ra,2,TRUE
CDFmm/01,Qg,3,TRUE
CDFmm/01,Qg,3,TRUE
CDFmm/01,Pl,3,TRUE
CDFmm/01,Pl,3,TRUE
CDFmm/01,Mb,2,TRUE
CDFmm/01,Mb,2,TRUE
CDFmm/01,Fd,1,TRUE
CDFmm/01,Fd,1,TRUE
CDFmm/01,Dr,3,TRUE
CDFmm/01,Dr,3,TRUE
CDFmm/01,Cw,3,TRUE
CDFmm/01,Cw,3,TRUE
CDFmm/01,Bg,3,TRUE
CDFmm/01,Bg,3,TRUE
CMAun/00,X,1,TRUE
CMAun/00,X,1,TRUE
CMAun/00,X,1,TRUE
CMAun_CA/00,X,1,TRUE
CMAun_CA/00,X,1,TRUE
CMAun_CA/00,X,1,TRUE
CMAun_OR/00,X,1,TRUE
CMAun_OR/00,X,1,TRUE
CMAun_OR/00,X,1,TRUE
CMAun_WA/00,X,1,TRUE
CMAun_WA/00,X,1,TRUE
CMAun_WA/00,X,1,TRUE
CMAunp/00,X,1,TRUE
CMAunp/00,X,1,TRUE
CMAunp/00,X,1,TRUE
CMAwh/00,X,1,TRUE
CMAwh/00,X,1,TRUE
CMAwh/00,X,1,TRUE
CMXdm_OR/102,Pz,3,TRUE
CMXdm_OR/102,Pz,2,TRUE
CVGdm_CA/Gg,X,1,TRUE
CVGdm_CA/Gg,X,1,TRUE
CWFwm_OR/102,Ps,2,TRUE
CWFwm_OR/102,Ps,2,TRUE
CWHvh1/01,Mb,5,TRUE
CWHvh1/01,Mb,5,TRUE
CWHvh1/03,Mb,5,TRUE
CWHvh1/03,Mb,5,TRUE
CWHvh1/04,Mb,5,TRUE
CWHvh1/04,Mb,5,TRUE
CWHwh2/101,Yc,1,TRUE
CWHwh2/101,Yc,1,TRUE
CWHwh2/101,Ss,2,TRUE
CWHwh2/101,Ss,2,TRUE
CWHwh2/101,Hw,1,TRUE
CWHwh2/101,Hw,1,TRUE
CWHwh2/101,Hm,3,TRUE
CWHwh2/101,Hm,3,TRUE
CWHwh2/101,Cw,2,TRUE
CWHwh2/101,Cw,2,TRUE
ESSFdcp/00,Bl,3,TRUE
ESSFdcp/00,Bl,3,TRUE
ESSFdcp/00,Bl,3,TRUE
ESSFdkp/00,Bl,3,TRUE
ESSFdkp/00,Bl,3,TRUE
ESSFdkp/00,Bl,3,TRUE
ESSFdkp_MT/00,Sx,3,TRUE
ESSFdkp_MT/00,Sx,3,TRUE
ESSFdkp_MT/00,Sx,3,TRUE
ESSFdkp_MT/00,Pl,3,TRUE
ESSFdkp_MT/00,Pl,3,TRUE
ESSFdkp_MT/00,Pl,3,TRUE
ESSFdkp_MT/00,Pa,3,TRUE
ESSFdkp_MT/00,Pa,3,TRUE
ESSFdkp_MT/00,Pa,3,TRUE
ESSFdkp_MT/00,Bl,3,TRUE
ESSFdkp_MT/00,Bl,3,TRUE
ESSFdkp_MT/00,Bl,3,TRUE
ESSFdmp_ID/00,X,5,TRUE
ESSFdmp_ID/00,X,5,TRUE
ESSFdmp_ID/00,X,5,TRUE
ESSFdmp_ID/00,Sx,3,TRUE
ESSFdmp_ID/00,Sx,3,TRUE
