Retire,withsubtaxa,Source,BGC,SS_NoSpace,Special,SpecialCode,fD
,"",BECv11,IDFxx2,IDFxx2/Fm02,"",Fm,TRUE
,"",BECv11,IDFxx2,IDFxx2/Fm02,"",Fm,TRUE
,"",BECv12,MSdk,MSdk/Fm02,"",Fm,TRUE
,"",BECv12,MSdk,MSdk/Fm02,"",Fm,TRUE
,"",BECv12,MSdm1,MSdm1/Fm02,"",Fm,TRUE
,"",BECv12,MSdm1,MSdm1/Fm02,"",Fm,TRUE
,"",BECv11,MSdw,MSdw/Fm01,Flood,Fm,TRUE
,"",BECv11,MSdw,MSdw/Fm02,Flood,Fm,TRUE
,"",BECv12,MSdw,MSdw/Fm01,"",Fm,TRUE
,"",BECv12,MSdw,MSdw/Fm02,"",Fm,TRUE
,"",BECv12,MSdw,MSdw/Fm02,"",Fm,TRUE
